id,text,date,user,user_id,favorite_cnt,retweet_cnt
1182979777319391232,[#ECOMMERCE] @GroupeLDLC entre en négociations exclusives avec @rueducommerce pour racheter @TopAchat [LIEN] #Commerce #Ecommerce  #Entreprise #Entreprises #Emploi #Internet #France #web #LDLC #TOPACHAT #RueDuCommerce @stefalligne,Sat Oct 12 11:22:12 +0000 2019,Stéphane ALLIGNE,1095380221,2,0
1182911413892898816,"Énorme soirée Destiny/Quizz/CultureG/Pokemon/concours @Cdiscount/ Anecdote croustibate.
Et ceux qui on fait partie d'un sujet lors du stream
@DestinyFrance__ @BruceGrannec @soyouz_tv @ActuG @PokemonFR @DavidLPokemon @APEassociation @rueducommerce @beIN_eSports @Intersport_FR [LIEN]",Sat Oct 12 06:50:33 +0000 2019,Mehdi ''Miidii'' MALLEM,973156733785985024,9,3
1182628155686899712,J’attends avec impatience les jeux concours pour gagner la ps5 😂 @Cdiscount @PlayStationFR @rueducommerce @BoulangerGaming @TopAchat @Darty_Officiel @Fnac @CarrefourFrance @AUCHAN_France @HypergamesA @LDLC @PlayStation [LIEN],Fri Oct 11 12:04:59 +0000 2019,Saycosy,607998919,2,1
1182564569530732545,Bonjour @rueducommerce j'ai un souci avec ma commande.,Fri Oct 11 07:52:19 +0000 2019,Abderrahmane.B,747276938310488064,0,0
1182293164184371201,ça va faire deux semaines que j’ai acheté un ordi à 900€ sur @rueducommerce il etait censé arriver le 5 on est le 11 tout va bien lol,Thu Oct 10 13:53:50 +0000 2019,🐍,141259115,1,1
1182274367868358656,"Bonjour @rueducommerce c'est quoi le delire avec votre concours terminé, alors qu'il se fini le 14 octobre...",Thu Oct 10 12:39:09 +0000 2019,djboulette,15650501,0,0
1181985245865955329,Promotion sur les sacs MSI @Rueducommerce  [LIEN] #bonplan [LIEN],Wed Oct 09 17:30:17 +0000 2019,SerialDealer.fr : les meilleurs bons plans,589098532,0,1
1181975231159767045,J’espère que vous ne pensez pas que je vais lâcher l’affaire hein @rueducommerce oulala c’est bien mal connaître sa majesté,Wed Oct 09 16:50:29 +0000 2019,👻🎃 Hugo 🎃👻,831496263178792961,0,0
1181954955776684032,#HackathonRueduCommerce proposer des projets innovants et complets en 2 jours ? Nos étudiants ont relevé le défi 💪🏻 @Epitech @webacademie @sup_internet @Groupe_IONIS @rueducommerce [LIEN],Wed Oct 09 15:29:55 +0000 2019,ISG_PBMparis,4157622910,5,0
1181954117419327488,"Très déçu du service de retour de @rueducommerce, j'ai commandé un ordi le 25/09 défectueux, reçu et renvoyé le 28/09, 11 jours après le renvoi le colis n'est même pas expédié ... Je pense que je ne recommanderai jamais ici ! [LIEN]",Wed Oct 09 15:26:35 +0000 2019,Anthony,4386730311,0,0
1181905137834614785,"Help les marques ne répondent pas, le port nvme de la carte mère ne marche pas et j'ai un 256go de chez intel qui attends... @msifrance @rueducommerce @Capetlevrai @AngA_TV",Wed Oct 09 12:11:58 +0000 2019,Baboo,945371339594043392,1,0
1181886152854384641,iPhone en cours de réapprovisionnement à ma commande c’était pas marqué ça @rueducommerce,Wed Oct 09 10:56:31 +0000 2019,Philou,287653885,42,0
1181873709008728064,"📣 #HackathonRueduCommerce DAY 2 !
Dans les locaux @rueducommerce les étudiants/apprenants de @webacademie @Epitech @ISG_PBMparis @sup_internet tentent d’imaginer les services de demain pour révolutionner l’expérience de navigation/achat sur un site e-commerce 💡 #innovation [LIEN]",Wed Oct 09 10:07:05 +0000 2019,Epitech Paris,4663821922,7,3
1181842659381596160,"bonjour, j'ai un gros souci avec @rueducommerce , c'est possible d'en discuter ??
Merci",Wed Oct 09 08:03:42 +0000 2019,lolo,2694661414,0,0
1181622499936755712,"L'ordinateur portable 2 en 1 #Thomson Hero 13, vous permet de profiter de vos contenus multimédias grâce à son écran riche en couleur 1440p 2K IPS de 13.3’’ partout où irez ! À moins de 280€ en ce moment sur @rueducommerce !

▶️ [LIEN] #ThomsonComputing #PROMO [LIEN]",Tue Oct 08 17:28:52 +0000 2019,Thomson France,773329555,9,0
